,epoch_0,epoch_1,epoch_11,epoch_21,epoch_31,epoch_41,epoch_51,epoch_61,epoch_71,epoch_81,epoch_91,epoch_101,epoch_111,epoch_121,epoch_131,epoch_141,epoch_151,epoch_161,epoch_171,epoch_181,epoch_191,epoch_201
layer_0,0.999999981,0.998927987,0.984261166,0.967338346,0.95474611,0.943611968,0.933094833,0.922855166,0.913627965,0.904407178,0.895762257,0.887420541,0.879570255,0.87196999,0.864839984,0.858302206,0.851988883,0.845909636,0.840161691,0.834851164,0.829943621,0.825275525
layer_1,0.999999977,0.998110808,0.968369425,0.939831387,0.920909145,0.904326668,0.889313278,0.875073967,0.861482306,0.848254661,0.835770238,0.823599498,0.812203935,0.80126794,0.791559736,0.782038831,0.773652985,0.76530454,0.758248694,0.751220565,0.744792802,0.739221273
layer_2,0.999999975,0.99691487,0.928591061,0.878693023,0.85258151,0.831860954,0.812603742,0.794952615,0.778750148,0.762875168,0.748493439,0.734384339,0.72185128,0.710158994,0.699452588,0.688277481,0.68000409,0.670518689,0.663211677,0.656514837,0.649933899,0.644419483
layer_3,0.999999972,0.994017798,0.878785616,0.808764527,0.776532021,0.752145478,0.730619327,0.713355545,0.698147995,0.682539553,0.669395867,0.656265989,0.645123597,0.635175057,0.62564411,0.61647489,0.609435792,0.600816684,0.594704806,0.58967281,0.584275957,0.579381116
layer_4,0.999999969,0.989905175,0.832048269,0.743423956,0.70849289,0.682801191,0.660628542,0.643522724,0.628687919,0.613997845,0.60222773,0.590484922,0.581060426,0.572736849,0.564618178,0.55687299,0.551227146,0.543689733,0.538840114,0.534913652,0.530554673,0.526811535
layer_5,0.999999966,0.984009932,0.780735814,0.681128859,0.64664127,0.623124452,0.602108432,0.586352791,0.572997229,0.560269647,0.550600058,0.540289689,0.53243847,0.525770645,0.5186276,0.512643042,0.508264554,0.501582937,0.497860689,0.494445958,0.490977456,0.487820928
layer_6,0.999999962,0.977410732,0.726212436,0.624771055,0.594219143,0.574032634,0.555776583,0.542483855,0.531295087,0.520991401,0.513349621,0.505149992,0.498514636,0.49338634,0.487335126,0.482493279,0.478840571,0.473481777,0.470617768,0.4677293,0.464776117,0.46221821
layer_7,0.999999959,0.969069131,0.662334151,0.564632292,0.539404539,0.524417961,0.510705661,0.50171293,0.493753738,0.486714314,0.481275122,0.475527847,0.470778181,0.467182057,0.462808366,0.459153005,0.456498705,0.452414573,0.450352613,0.447790777,0.445272961,0.443203884
layer_8,0.999999956,0.958565287,0.608252382,0.521258665,0.501562931,0.490210454,0.479956904,0.473851866,0.467999241,0.462576846,0.458652948,0.454248133,0.450581502,0.447586615,0.444156104,0.440811383,0.438513626,0.435274723,0.433348181,0.430982323,0.428588037,0.426849236
layer_9,0.999999952,0.945617315,0.566544636,0.489749775,0.472902646,0.463907298,0.455525616,0.45082602,0.445893822,0.441695739,0.438145343,0.43424738,0.431185369,0.428228526,0.425075961,0.422101407,0.419697799,0.416806279,0.414915011,0.412600165,0.410490356,0.4086959
layer_10,0.99999995,0.932262909,0.533425467,0.46685549,0.450848978,0.442793565,0.435717249,0.431382143,0.427012687,0.423048099,0.419623942,0.415740551,0.412850126,0.40979992,0.40669197,0.403480459,0.401033836,0.398051744,0.396195004,0.393911837,0.391616183,0.389728925
layer_11,0.999999947,0.916968167,0.510020091,0.451122451,0.436232362,0.428247489,0.421026695,0.416444893,0.411817453,0.40776041,0.403974535,0.399896254,0.396703481,0.393354937,0.390045149,0.386474242,0.383497042,0.380341999,0.37821414,0.375764723,0.373481591,0.371313022
layer_12,0.999999943,0.901710548,0.496470081,0.443762949,0.429554194,0.421087247,0.413476786,0.408230629,0.402775892,0.398381624,0.39344249,0.389100236,0.385353937,0.381756643,0.378092226,0.373823815,0.370538343,0.367046754,0.364121142,0.361614237,0.358819223,0.35647856
