,epoch_0,epoch_1,epoch_11,epoch_21,epoch_31,epoch_41,epoch_51,epoch_61,epoch_71,epoch_81,epoch_91,epoch_101,epoch_111,epoch_121,epoch_131,epoch_141,epoch_151,epoch_161,epoch_171,epoch_181,epoch_191,epoch_201
layer_0,0.999999996,0.996730417,0.980436093,0.943073097,0.923673374,0.90784345,0.892916327,0.877596508,0.865499475,0.85405246,0.843152497,0.833220864,0.824201365,0.815270227,0.80748245,0.799805749,0.792562276,0.786393634,0.780529434,0.775479073,0.770546103,0.766716359
layer_1,0.999999996,0.996867188,0.965058228,0.911249385,0.885002672,0.864948859,0.847393908,0.831595237,0.816482087,0.80308392,0.790524461,0.779920042,0.770228386,0.76085618,0.75257239,0.745380661,0.738765911,0.731681705,0.726171749,0.721010061,0.715672452,0.712145849
layer_2,0.999999996,0.992305812,0.946787569,0.870060077,0.842493699,0.819580461,0.800460991,0.784550366,0.769496657,0.756272089,0.744113703,0.732867512,0.72355708,0.714666887,0.70682342,0.698688631,0.692403418,0.685402721,0.679853103,0.674815081,0.670391895,0.66623306
layer_3,0.999999996,0.992727556,0.925790013,0.822799551,0.788660852,0.761300618,0.738797973,0.719323785,0.70394136,0.690749309,0.679011434,0.668609628,0.659783722,0.652471415,0.645065986,0.638746285,0.632950672,0.627278864,0.622260855,0.618327104,0.614795878,0.610808291
layer_4,0.999999996,0.988717567,0.90825888,0.787589216,0.752339158,0.724547565,0.701964418,0.683213478,0.667696085,0.654015254,0.643637121,0.633540898,0.625327173,0.618358494,0.612411017,0.605988109,0.601161841,0.595631907,0.591389541,0.587830171,0.583397715,0.579678704
layer_5,0.999999996,0.984670556,0.893879048,0.755545986,0.723038069,0.696057555,0.674270998,0.656087735,0.641376104,0.629212159,0.619367319,0.610315232,0.60274648,0.596192702,0.591034737,0.585338227,0.580536377,0.575413677,0.571140299,0.567520939,0.564151422,0.560533135
layer_6,0.999999995,0.982346049,0.877965567,0.725875974,0.693752137,0.672213544,0.652853632,0.637310432,0.624597642,0.614625959,0.606889667,0.599507935,0.593670293,0.588296749,0.583204631,0.578902591,0.57492077,0.570596753,0.566974275,0.56336723,0.560854909,0.557464631
layer_7,0.999999995,0.976434367,0.862142119,0.682313951,0.651020714,0.633251552,0.618397659,0.606757333,0.598527044,0.591401148,0.58558788,0.58021875,0.576603296,0.572227354,0.568416901,0.565200472,0.561847301,0.558610972,0.555727065,0.553139458,0.550410765,0.547503705
layer_8,0.999999995,0.971737209,0.844579336,0.65989883,0.63874454,0.6266396,0.616025924,0.608943612,0.602594891,0.597807606,0.593087983,0.589041987,0.585898198,0.582314405,0.579185363,0.576352955,0.572647978,0.569647334,0.567330092,0.563925325,0.561536377,0.558568
layer_9,0.999999994,0.964916302,0.83059254,0.640566774,0.620135962,0.611272879,0.603832791,0.598600311,0.594381002,0.591013765,0.587470313,0.584249535,0.58124222,0.578378038,0.575023542,0.572561636,0.569093943,0.566538649,0.564270574,0.560927651,0.558769197,0.556096757
layer_10,0.999999994,0.959305029,0.814394125,0.623894948,0.60301581,0.594377918,0.588398799,0.58457928,0.581175322,0.579066883,0.57536152,0.572131651,0.568907239,0.565939918,0.562536993,0.560445941,0.556233485,0.55453317,0.551346726,0.54796447,0.545899853,0.542763005
layer_11,0.999999994,0.952277321,0.80554074,0.615862246,0.594249147,0.583578036,0.57662855,0.572383618,0.567299267,0.564361707,0.560447303,0.556718232,0.553116933,0.549702283,0.545698331,0.543037442,0.5387802,0.536639367,0.532972473,0.529388103,0.526772876,0.523118274
layer_12,0.999999993,0.945069359,0.798294406,0.611214869,0.588050361,0.576122646,0.567952304,0.56257322,0.556301297,0.552871961,0.547694143,0.543556878,0.538685708,0.534433985,0.529915462,0.526581234,0.522049695,0.519184468,0.514728631,0.510555826,0.5075551,0.504105554
