,epoch_0,epoch_1,epoch_11,epoch_21,epoch_31,epoch_41,epoch_51,epoch_61,epoch_71,epoch_81,epoch_91,epoch_101,epoch_111,epoch_121,epoch_131,epoch_141,epoch_151,epoch_161,epoch_171,epoch_181,epoch_191,epoch_201
layer_0,0.56827673,0.566139985,0.548459781,0.545927409,0.543838446,0.542197197,0.541141947,0.540277558,0.539638824,0.539408524,0.539358743,0.539427063,0.539614773,0.539963628,0.540453789,0.540959794,0.541459002,0.542111478,0.542735365,0.543333847,0.543883844,0.544499527
layer_1,0.556084703,0.551103752,0.531828646,0.526162361,0.521989346,0.519868616,0.518330024,0.517321773,0.516446479,0.51582006,0.515035755,0.514400186,0.514020809,0.513269736,0.513087211,0.51252594,0.512397504,0.512002891,0.511666471,0.511265202,0.510920694,0.510765124
layer_2,0.544094044,0.531611039,0.510345024,0.501439613,0.496724853,0.494370513,0.4925755,0.491520128,0.490123988,0.489335417,0.487822235,0.486876979,0.485645545,0.484107952,0.483299589,0.482037647,0.481075948,0.479693605,0.478696166,0.477928521,0.47701296,0.476091739
layer_3,0.531710129,0.511117485,0.48716244,0.470121431,0.463335433,0.459588774,0.456842241,0.45591402,0.454663412,0.453546004,0.451987743,0.450957475,0.449569724,0.448320263,0.447130827,0.445846964,0.444996241,0.443556716,0.44260997,0.441905735,0.440998643,0.439822394
layer_4,0.519095143,0.490900904,0.464351657,0.441533366,0.435337076,0.431836132,0.428676345,0.427491841,0.426153864,0.425069236,0.42352583,0.422672574,0.42134966,0.420388349,0.419298823,0.417854037,0.417432076,0.415902661,0.415204856,0.414540184,0.413825346,0.412516539
layer_5,0.506788939,0.472017504,0.442555489,0.415344913,0.410753422,0.408782638,0.406269059,0.40567557,0.404710208,0.404130141,0.403035061,0.402403726,0.401355671,0.401042481,0.39983687,0.398599206,0.39840235,0.396830152,0.396450944,0.395700078,0.39517498,0.393961982
layer_6,0.494432702,0.454640153,0.423112175,0.394000696,0.394773892,0.397220009,0.397995283,0.400329837,0.40121899,0.40303409,0.40352849,0.403864373,0.403620655,0.404039158,0.403568137,0.402925315,0.403047278,0.402033895,0.401842568,0.401244071,0.400924684,0.399772795
layer_7,0.482579709,0.439096215,0.404800449,0.374775952,0.380251744,0.385338972,0.388088769,0.392227052,0.394432963,0.39689869,0.397922413,0.398806944,0.399033016,0.399307609,0.398978047,0.39872154,0.398613218,0.397974559,0.397746726,0.396863031,0.396387925,0.395394792
layer_8,0.471182502,0.426422975,0.389066419,0.359984587,0.37146915,0.380560878,0.386056298,0.391939528,0.394840172,0.397828919,0.399535306,0.400389095,0.40066665,0.40089214,0.400284473,0.400092737,0.399487825,0.398589462,0.398123045,0.396942624,0.395896911,0.395133566
layer_9,0.460401393,0.416749516,0.379490264,0.347037628,0.363675531,0.375090881,0.382605489,0.389071545,0.392190636,0.395519124,0.39724199,0.397836662,0.397994621,0.398384165,0.397555937,0.397342932,0.396366012,0.395590459,0.39514624,0.393717882,0.392675634,0.391858454
layer_10,0.450205557,0.409692049,0.374795507,0.339103135,0.357406327,0.369987757,0.377908892,0.384329681,0.38751682,0.390652968,0.391714737,0.392309507,0.391998591,0.392244265,0.391287777,0.390889985,0.389624494,0.38850592,0.388046682,0.38631381,0.384954242,0.383929044
layer_11,0.440837369,0.405393745,0.372754312,0.335690958,0.353984456,0.365238078,0.372042547,0.377893567,0.380177184,0.382744325,0.383016972,0.383152272,0.382250397,0.382018483,0.381023947,0.379935156,0.378400703,0.376933744,0.376183351,0.37395277,0.372299956,0.371134372
layer_12,0.431805774,0.401580718,0.3722347,0.335524696,0.353153292,0.36301212,0.368467466,0.373374575,0.374486059,0.376017756,0.375581963,0.37493693,0.373395923,0.372544099,0.371048673,0.369258305,0.367351924,0.365485742,0.364225983,0.361564634,0.359589275,0.358095969
