,epoch_0,epoch_1,epoch_11,epoch_21,epoch_31,epoch_41,epoch_51,epoch_61,epoch_71,epoch_81,epoch_91,epoch_101,epoch_111,epoch_121,epoch_131
layer_0,0.852177018,0.855915587,0.862580108,0.855453167,0.844887804,0.834717314,0.824371602,0.815363276,0.807134048,0.799612583,0.792833018,0.787112037,0.781570185,0.776935645,0.772581405
layer_12,0.264935209,0.287441925,0.364794312,0.387573416,0.394618308,0.397180099,0.397598859,0.396345452,0.395721174,0.394298631,0.392896971,0.390664361,0.389421893,0.388185912,0.386968513
