,epoch_0,epoch_1,epoch_11,epoch_21,epoch_31,epoch_41,epoch_51,epoch_61,epoch_71,epoch_81,epoch_91,epoch_101,epoch_111,epoch_121,epoch_131
layer_0,0.802509179,0.807811724,0.824147474,0.824335938,0.819230075,0.811849772,0.80387305,0.796031902,0.788796506,0.781909173,0.775603461,0.769802779,0.764548962,0.759842171,0.755668413
layer_12,0.227026261,0.251623373,0.353701475,0.388878282,0.402455818,0.40869158,0.411681206,0.411363521,0.412006439,0.411538417,0.41078823,0.408743784,0.408038169,0.406972378,0.405501167
