,epoch_0,epoch_1,epoch_11,epoch_21,epoch_31,epoch_41,epoch_51,epoch_61,epoch_71,epoch_81,epoch_91,epoch_101,epoch_111,epoch_121,epoch_131,epoch_141,epoch_151,epoch_161,epoch_171,epoch_181,epoch_191,epoch_201
layer_0,0.9999999863579654,0.9992378206836213,0.9880792129758544,0.9693374691000333,0.9566166351749856,0.9454332373124417,0.9341750621065891,0.9240081264307114,0.9140435118590667,0.9045029482908598,0.8955121191120444,0.8866527073764285,0.8781579016928427,0.8703705286000565,0.8630308595500498,0.8557334934069109,0.8487680761701188,0.8423952517077601,0.8362287945552327,0.8304927860524943,0.8251058469664488,0.8200353612211193
layer_1,0.9999999837162173,0.9984408404024985,0.9815106579611604,0.9483105019405439,0.9305299893899285,0.915729707117566,0.9016882914631924,0.8879736900636847,0.8753501020145515,0.8626392047377248,0.8507645292620006,0.8393602871321871,0.8285285628022694,0.8180903073581343,0.8082938387041428,0.7992251416680268,0.790407021139569,0.7820334868652826,0.774096714782528,0.7669001158541725,0.7598200783324838,0.7538287652927268
layer_2,0.9999999816951276,0.9980078260849404,0.971558923624897,0.9138929033676786,0.8908515870437267,0.8711656318964075,0.853352278327134,0.8359129934591014,0.8202983971412516,0.8050061643937366,0.7903890378975287,0.7765682765308335,0.7640621642949574,0.7514926041542196,0.7403460646607538,0.7295760305132095,0.7199199686058637,0.7098350538749362,0.701008279676317,0.6930922994911644,0.6856722014729459,0.679108426345302
layer_3,0.9999999785929964,0.9965444727761681,0.955010928264375,0.8570266867635394,0.8248529808722096,0.798170021157661,0.7760837281723467,0.7564176272734756,0.739448975060297,0.7229215184755452,0.7080964992379353,0.6947717303241376,0.6819787867100611,0.6696861062542777,0.6591214459146167,0.6491066258291758,0.6404862151031727,0.6301854537728722,0.6222964560835088,0.6157093541299536,0.6090526292932703,0.6031767925382749
layer_4,0.9999999760752177,0.9944465341469101,0.9351075530588593,0.8025969442708556,0.7659004266422729,0.7367495350978001,0.7114874689006689,0.6899356718964491,0.6719238607009934,0.6550394879289279,0.6402259801849247,0.6273784073424428,0.615634866295254,0.6040137675452164,0.5946291164483244,0.5853515448690865,0.5781220496964896,0.5682866723436102,0.5615321452559201,0.5560523547328836,0.5501455716374226,0.5453596113532669
layer_5,0.9999999726308658,0.9913720000275409,0.9076889752085291,0.7450012568035311,0.7065851762171825,0.6776531485081175,0.6524695577398095,0.6312139611284435,0.6135187709573404,0.5972964827519646,0.5837705868457137,0.5725338249532118,0.5618844523553095,0.5511718985285264,0.5432938173397703,0.5350547675267994,0.5292518757286477,0.5202798153721603,0.5148484762352615,0.510200255280297,0.50533307807307,0.501317214418192
layer_6,0.9999999690340755,0.9870765588755087,0.8745403717613529,0.684695511787451,0.6458917195453505,0.619286323514496,0.5953336405036054,0.5768530079058014,0.5615675749881628,0.5473010827829345,0.5364190074124268,0.5274932388883974,0.5185443503256386,0.5095762192477071,0.5041198126655507,0.4972084462300498,0.49244351552997084,0.4855295436057093,0.4812263474588089,0.4776326168716755,0.47356732056213297,0.4705155226559449
layer_7,0.9999999659110718,0.9818275108568962,0.8333611619848916,0.6187596195023813,0.5816835213586719,0.5588306007713038,0.5386246025142647,0.5245135281366313,0.5131754540513938,0.5026110432955351,0.49549457928733154,0.48954631020788186,0.4837302886381439,0.4773672849432309,0.4738025471151375,0.4686909236116751,0.465710210482245,0.4606583065071667,0.4577791008513835,0.45495170359028286,0.4520849897373717,0.449765710943283
layer_8,0.9999999621855659,0.9744916030106424,0.7884207950850696,0.5657068383828592,0.5339717494913631,0.5158165588388793,0.5007781742775449,0.49087254809654157,0.48379472493540726,0.47654682451338887,0.4718503821572049,0.4676044907957182,0.4636395546079535,0.4591381040950835,0.45656088961084323,0.4526818050283972,0.4501480911600721,0.4465153230606931,0.44424387686577393,0.4419710636002631,0.43914350823291814,0.43732802652731834
layer_9,0.9999999581131257,0.9669996334419437,0.7499722938539584,0.5283148517305749,0.49899523675278623,0.4839601350837851,0.4722882406751097,0.4651078793484773,0.4601133704835493,0.45479535288515033,0.4516879613217482,0.44799252383261984,0.4452269297470566,0.4416798982807151,0.43959618178304527,0.43623760424725305,0.43412189142900465,0.4311548309144972,0.4291606954153151,0.42711407896097586,0.42452276185276105,0.42284517277157785
layer_10,0.9999999559579971,0.9583819811678211,0.7172691651281451,0.5007686954160504,0.4752689160622807,0.4635568932853189,0.4547655044637479,0.44935552827298486,0.44591068658305966,0.44165681943084456,0.43917613877761186,0.43587787348037116,0.43336347124427715,0.4301475591772668,0.4280359312025733,0.4252193307469072,0.42264938330017304,0.41985171279440997,0.4177145442530941,0.41570618943172577,0.41284886181021496,0.41117710610185243
layer_11,0.9999999524473219,0.947750884034794,0.6900504219743941,0.48444804124103713,0.4602022120356213,0.44955887068696787,0.44116278473223014,0.43623913335007586,0.43274098247166193,0.42876863865918086,0.4258687083156105,0.4222894734838754,0.4193869977379367,0.41638174470233913,0.4139302262392489,0.4109940419338333,0.4081976904349672,0.40520474285308583,0.40264217896559734,0.40048675301989595,0.39752278729841994,0.3958723509215132
layer_12,0.9999999479882696,0.937557883354846,0.6728804314981957,0.4774796698324951,0.4540817003433451,0.44258586304968517,0.43409691451243315,0.4286558848582258,0.42409070930792603,0.41943407716804215,0.4158087776132973,0.41178812197537173,0.4082997577667729,0.4048137600415221,0.40193850295980105,0.39818088866978724,0.39500858089861657,0.3917221076782439,0.38870357818972895,0.38633679297379864,0.38295079988495984,0.381241651407407
